BankId,From Currency,To Currency,Effective Date,Exchange Rate,Unit
NOCB,CHF,NOK,2020-09-24,1030.66,100
NOCB,CNY,NOK,2020-09-24,139.6,100
NOCB,EUR,NOK,2020-09-24,11.1023,1
NOCB,USD,NOK,2020-09-24,9.534,1
